subjects_source,Freq,source,prop
Aging,8,Wall Street Journal,8.466504391999154e-4
Architecture,8,Wall Street Journal,8.466504391999154e-4
Armed forces,8,Wall Street Journal,8.466504391999154e-4
Baby boomers,8,Wall Street Journal,8.466504391999154e-4
Births,8,Wall Street Journal,8.466504391999154e-4
"Bloomberg, Michael",8,Wall Street Journal,8.466504391999154e-4
Colorado,8,Wall Street Journal,8.466504391999154e-4
Cuba,8,Wall Street Journal,8.466504391999154e-4
"Cuomo, Andrew M",8,Wall Street Journal,8.466504391999154e-4
Diplomatic & consular services,8,Wall Street Journal,8.466504391999154e-4
Education,8,Wall Street Journal,8.466504391999154e-4
Elections,8,Wall Street Journal,8.466504391999154e-4
Enforcement,8,Wall Street Journal,8.466504391999154e-4
Entrepreneurs,8,Wall Street Journal,8.466504391999154e-4
EU membership,8,Wall Street Journal,8.466504391999154e-4
Fraud,8,Wall Street Journal,8.466504391999154e-4
Globalization,8,Wall Street Journal,8.466504391999154e-4
Higher education,8,Wall Street Journal,8.466504391999154e-4
Hong Kong,8,Wall Street Journal,8.466504391999154e-4
Labor unions,8,Wall Street Journal,8.466504391999154e-4
Low income groups,8,Wall Street Journal,8.466504391999154e-4
Massacres,8,Wall Street Journal,8.466504391999154e-4
Migrant workers,8,Wall Street Journal,8.466504391999154e-4
Nevada,8,Wall Street Journal,8.466504391999154e-4
Prime ministers,8,Wall Street Journal,8.466504391999154e-4
Public policy,8,Wall Street Journal,8.466504391999154e-4
Queens New York,8,Wall Street Journal,8.466504391999154e-4
Retirement,8,Wall Street Journal,8.466504391999154e-4
Rural areas,8,Wall Street Journal,8.466504391999154e-4
Singapore,8,Wall Street Journal,8.466504391999154e-4
Suicide bombings,8,Wall Street Journal,8.466504391999154e-4
Tax rates,8,Wall Street Journal,8.466504391999154e-4
Affordable housing,7,Wall Street Journal,7.408191342999259e-4
Africa,7,Wall Street Journal,7.408191342999259e-4
Chief executive officers,7,Wall Street Journal,7.408191342999259e-4
Coalition governments,7,Wall Street Journal,7.408191342999259e-4
Competition,7,Wall Street Journal,7.408191342999259e-4
Demography,7,Wall Street Journal,7.408191342999259e-4
Economic forecasts,7,Wall Street Journal,7.408191342999259e-4
Economic statistics,7,Wall Street Journal,7.408191342999259e-4
Expatriates,7,Wall Street Journal,7.408191342999259e-4
Family planning,7,Wall Street Journal,7.408191342999259e-4
Federal budget,7,Wall Street Journal,7.408191342999259e-4
Firearm laws & regulations,7,Wall Street Journal,7.408191342999259e-4
Health insurance,7,Wall Street Journal,7.408191342999259e-4
High tech industries,7,Wall Street Journal,7.408191342999259e-4
Houses,7,Wall Street Journal,7.408191342999259e-4
Insurance coverage,7,Wall Street Journal,7.408191342999259e-4
Job creation,7,Wall Street Journal,7.408191342999259e-4
Middle class,7,Wall Street Journal,7.408191342999259e-4
Mortality,7,Wall Street Journal,7.408191342999259e-4
Mortgages,7,Wall Street Journal,7.408191342999259e-4
Papal visits,7,Wall Street Journal,7.408191342999259e-4
Political finance,7,Wall Street Journal,7.408191342999259e-4
Poverty,7,Wall Street Journal,7.408191342999259e-4
Productivity,7,Wall Street Journal,7.408191342999259e-4
Public opinion,7,Wall Street Journal,7.408191342999259e-4
Reforms,7,Wall Street Journal,7.408191342999259e-4
Religion & politics,7,Wall Street Journal,7.408191342999259e-4
School districts,7,Wall Street Journal,7.408191342999259e-4
Small business,7,Wall Street Journal,7.408191342999259e-4
Soccer,7,Wall Street Journal,7.408191342999259e-4
Suburban areas,7,Wall Street Journal,7.408191342999259e-4
Television networks,7,Wall Street Journal,7.408191342999259e-4
Trials,7,Wall Street Journal,7.408191342999259e-4
Upward mobility,7,Wall Street Journal,7.408191342999259e-4
Asians,6,Wall Street Journal,6.349878293999365e-4
Attorneys general,6,Wall Street Journal,6.349878293999365e-4
Bailouts,6,Wall Street Journal,6.349878293999365e-4
"Boehner, John",6,Wall Street Journal,6.349878293999365e-4
Developing countries--LDCs,6,Wall Street Journal,6.349878293999365e-4
Eastern Europe,6,Wall Street Journal,6.349878293999365e-4
Education reform,6,Wall Street Journal,6.349878293999365e-4
Endorsements,6,Wall Street Journal,6.349878293999365e-4
Enrollments,6,Wall Street Journal,6.349878293999365e-4
Executive orders,6,Wall Street Journal,6.349878293999365e-4
Fatalities,6,Wall Street Journal,6.349878293999365e-4
Federal funding,6,Wall Street Journal,6.349878293999365e-4
Fiscal policy,6,Wall Street Journal,6.349878293999365e-4
Geographic profiles,6,Wall Street Journal,6.349878293999365e-4
Humanitarian aid,6,Wall Street Journal,6.349878293999365e-4
International,6,Wall Street Journal,6.349878293999365e-4
International trade,6,Wall Street Journal,6.349878293999365e-4
Iran,6,Wall Street Journal,6.349878293999365e-4
Ireland,6,Wall Street Journal,6.349878293999365e-4
Job hunting,6,Wall Street Journal,6.349878293999365e-4
Libya,6,Wall Street Journal,6.349878293999365e-4
Mass murders,6,Wall Street Journal,6.349878293999365e-4
Municipal government,6,Wall Street Journal,6.349878293999365e-4
Muslim Americans,6,Wall Street Journal,6.349878293999365e-4
Political activism,6,Wall Street Journal,6.349878293999365e-4
Political power,6,Wall Street Journal,6.349878293999365e-4
Race relations,6,Wall Street Journal,6.349878293999365e-4
"Rangel, Charles B",6,Wall Street Journal,6.349878293999365e-4
"Reagan, Ronald Wilson",6,Wall Street Journal,6.349878293999365e-4
Recruitment,6,Wall Street Journal,6.349878293999365e-4
Relocation,6,Wall Street Journal,6.349878293999365e-4
Social impact,6,Wall Street Journal,6.349878293999365e-4
Startups,6,Wall Street Journal,6.349878293999365e-4
State budgets,6,Wall Street Journal,6.349878293999365e-4
Students,6,Wall Street Journal,6.349878293999365e-4
Tax reform,6,Wall Street Journal,6.349878293999365e-4
Trends,6,Wall Street Journal,6.349878293999365e-4
Turkey,6,Wall Street Journal,6.349878293999365e-4
Virginia,6,Wall Street Journal,6.349878293999365e-4
Young adults,6,Wall Street Journal,6.349878293999365e-4
Alabama,5,Wall Street Journal,5.291565244999471e-4
Americans abroad,5,Wall Street Journal,5.291565244999471e-4
Bans,5,Wall Street Journal,5.291565244999471e-4
Bombings,5,Wall Street Journal,5.291565244999471e-4
Bond markets,5,Wall Street Journal,5.291565244999471e-4
Border security,5,Wall Street Journal,5.291565244999471e-4
Brooklyn New York,5,Wall Street Journal,5.291565244999471e-4
Capitalism,5,Wall Street Journal,5.291565244999471e-4
Central America,5,Wall Street Journal,5.291565244999471e-4
"Christie, Christopher J",5,Wall Street Journal,5.291565244999471e-4
College admissions,5,Wall Street Journal,5.291565244999471e-4
College students,5,Wall Street Journal,5.291565244999471e-4
Condominiums,5,Wall Street Journal,5.291565244999471e-4
Congressional elections -- New York,5,Wall Street Journal,5.291565244999471e-4
Court decisions,5,Wall Street Journal,5.291565244999471e-4
Criminal statistics,5,Wall Street Journal,5.291565244999471e-4
Disaster recovery,5,Wall Street Journal,5.291565244999471e-4
Drivers licenses,5,Wall Street Journal,5.291565244999471e-4
Economic indicators,5,Wall Street Journal,5.291565244999471e-4
Economic models,5,Wall Street Journal,5.291565244999471e-4
Egypt,5,Wall Street Journal,5.291565244999471e-4
Emigration,5,Wall Street Journal,5.291565244999471e-4
Food stamps,5,Wall Street Journal,5.291565244999471e-4
Foreclosure,5,Wall Street Journal,5.291565244999471e-4
Foreign policy -- United States--US,5,Wall Street Journal,5.291565244999471e-4
Gasoline prices,5,Wall Street Journal,5.291565244999471e-4
Gays & lesbians,5,Wall Street Journal,5.291565244999471e-4
Gentrification,5,Wall Street Journal,5.291565244999471e-4
Georgia,5,Wall Street Journal,5.291565244999471e-4
"Graham, Lindsey",5,Wall Street Journal,5.291565244999471e-4
Health insurance exchanges,5,Wall Street Journal,5.291565244999471e-4
Hospitals,5,Wall Street Journal,5.291565244999471e-4
Human rights,5,Wall Street Journal,5.291565244999471e-4
Indictments,5,Wall Street Journal,5.291565244999471e-4
Inflation,5,Wall Street Journal,5.291565244999471e-4
International relations-US,5,Wall Street Journal,5.291565244999471e-4
Iraq War-2003,5,Wall Street Journal,5.291565244999471e-4
"Le Pen, Marine",5,Wall Street Journal,5.291565244999471e-4
Liberalism,5,Wall Street Journal,5.291565244999471e-4
Life expectancy,5,Wall Street Journal,5.291565244999471e-4
Malaysia,5,Wall Street Journal,5.291565244999471e-4
Manufacturing,5,Wall Street Journal,5.291565244999471e-4
Municipal finance,5,Wall Street Journal,5.291565244999471e-4
Museum exhibits,5,Wall Street Journal,5.291565244999471e-4
Museums,5,Wall Street Journal,5.291565244999471e-4
Nazi groups,5,Wall Street Journal,5.291565244999471e-4
Negative campaigning,5,Wall Street Journal,5.291565244999471e-4
Netherlands,5,Wall Street Journal,5.291565244999471e-4
Norway,5,Wall Street Journal,5.291565244999471e-4
Notable & quotable (wsj),5,Wall Street Journal,5.291565244999471e-4
Ohio,5,Wall Street Journal,5.291565244999471e-4
Oil spills,5,Wall Street Journal,5.291565244999471e-4
Older workers,5,Wall Street Journal,5.291565244999471e-4
Petroleum industry,5,Wall Street Journal,5.291565244999471e-4
Political behavior,5,Wall Street Journal,5.291565244999471e-4
Political conventions,5,Wall Street Journal,5.291565244999471e-4
Popes,5,Wall Street Journal,5.291565244999471e-4
Price increases,5,Wall Street Journal,5.291565244999471e-4
Radical groups,5,Wall Street Journal,5.291565244999471e-4
Ratings & rankings,5,Wall Street Journal,5.291565244999471e-4
Religious congregations,5,Wall Street Journal,5.291565244999471e-4
Segregation,5,Wall Street Journal,5.291565244999471e-4
Sex crimes,5,Wall Street Journal,5.291565244999471e-4
Skilled workers,5,Wall Street Journal,5.291565244999471e-4
Social policy,5,Wall Street Journal,5.291565244999471e-4
South Korea,5,Wall Street Journal,5.291565244999471e-4
Stabbings,5,Wall Street Journal,5.291565244999471e-4
Taxes,5,Wall Street Journal,5.291565244999471e-4
Tournaments & championships,5,Wall Street Journal,5.291565244999471e-4
Trade agreements,5,Wall Street Journal,5.291565244999471e-4
Trade policy,5,Wall Street Journal,5.291565244999471e-4
Voting,5,Wall Street Journal,5.291565244999471e-4
Voting Rights Act,5,Wall Street Journal,5.291565244999471e-4
Western Europe,5,Wall Street Journal,5.291565244999471e-4
Xi Jinping,5,Wall Street Journal,5.291565244999471e-4
Affirmative action,4,Wall Street Journal,4.233252195999577e-4
Arabs,4,Wall Street Journal,4.233252195999577e-4
Arrests,4,Wall Street Journal,4.233252195999577e-4
Assimilation,4,Wall Street Journal,4.233252195999577e-4
Athletes,4,Wall Street Journal,4.233252195999577e-4
Austria,4,Wall Street Journal,4.233252195999577e-4
Business community,4,Wall Street Journal,4.233252195999577e-4
Business government relations,4,Wall Street Journal,4.233252195999577e-4
"Cantor, Eric",4,Wall Street Journal,4.233252195999577e-4
Church buildings,4,Wall Street Journal,4.233252195999577e-4
Clergy,4,Wall Street Journal,4.233252195999577e-4
College graduates,4,Wall Street Journal,4.233252195999577e-4
Counterterrorism,4,Wall Street Journal,4.233252195999577e-4
Criminal pleas,4,Wall Street Journal,4.233252195999577e-4
Cultural differences,4,Wall Street Journal,4.233252195999577e-4
Dallas Texas,4,Wall Street Journal,4.233252195999577e-4
Debates,4,Wall Street Journal,4.233252195999577e-4
Drug trafficking,4,Wall Street Journal,4.233252195999577e-4
Earthquakes,4,Wall Street Journal,4.233252195999577e-4
Economic reform,4,Wall Street Journal,4.233252195999577e-4
"Emanuel, Rahm",4,Wall Street Journal,4.233252195999577e-4
English language,4,Wall Street Journal,4.233252195999577e-4
Entrepreneurship,4,Wall Street Journal,4.233252195999577e-4
Ethnic foods,4,Wall Street Journal,4.233252195999577e-4
Extremism,4,Wall Street Journal,4.233252195999577e-4
Financial performance,4,Wall Street Journal,4.233252195999577e-4
Food,4,Wall Street Journal,4.233252195999577e-4
Foreign policy,4,Wall Street Journal,4.233252195999577e-4
Foreign residents,4,Wall Street Journal,4.233252195999577e-4
Freedom of religion,4,Wall Street Journal,4.233252195999577e-4
Gangs,4,Wall Street Journal,4.233252195999577e-4
Generation Y,4,Wall Street Journal,4.233252195999577e-4
Grocery stores,4,Wall Street Journal,4.233252195999577e-4
Hate crimes,4,Wall Street Journal,4.233252195999577e-4
History,4,Wall Street Journal,4.233252195999577e-4
Homeowners,4,Wall Street Journal,4.233252195999577e-4
Hungary,4,Wall Street Journal,4.233252195999577e-4
Illinois,4,Wall Street Journal,4.233252195999577e-4
Income inequality,4,Wall Street Journal,4.233252195999577e-4
Indonesia,4,Wall Street Journal,4.233252195999577e-4
Industrialized nations,4,Wall Street Journal,4.233252195999577e-4
Infrastructure,4,Wall Street Journal,4.233252195999577e-4
Leadership,4,Wall Street Journal,4.233252195999577e-4
Lebanon,4,Wall Street Journal,4.233252195999577e-4
Legislation,4,Wall Street Journal,4.233252195999577e-4
Letters to the editor,4,Wall Street Journal,4.233252195999577e-4
Lotteries,4,Wall Street Journal,4.233252195999577e-4
Marketing,4,Wall Street Journal,4.233252195999577e-4
Michigan,4,Wall Street Journal,4.233252195999577e-4
National debt,4,Wall Street Journal,4.233252195999577e-4
National identity,4,Wall Street Journal,4.233252195999577e-4
North American Free Trade Agreement,4,Wall Street Journal,4.233252195999577e-4
Olympic games,4,Wall Street Journal,4.233252195999577e-4
Olympic games-2008,4,Wall Street Journal,4.233252195999577e-4
Parents & parenting,4,Wall Street Journal,4.233252195999577e-4
Paris France,4,Wall Street Journal,4.233252195999577e-4
Philippines,4,Wall Street Journal,4.233252195999577e-4
Pittsburgh Pennsylvania,4,Wall Street Journal,4.233252195999577e-4
Political correctness,4,Wall Street Journal,4.233252195999577e-4
Professional football,4,Wall Street Journal,4.233252195999577e-4
Property values,4,Wall Street Journal,4.233252195999577e-4
Public health,4,Wall Street Journal,4.233252195999577e-4
Public opinion surveys,4,Wall Street Journal,4.233252195999577e-4
"Putin, Vladimir",4,Wall Street Journal,4.233252195999577e-4
Racial discrimination,4,Wall Street Journal,4.233252195999577e-4
Radio programming,4,Wall Street Journal,4.233252195999577e-4
Redevelopment,4,Wall Street Journal,4.233252195999577e-4
"Reid, Harry",4,Wall Street Journal,4.233252195999577e-4
Research,4,Wall Street Journal,4.233252195999577e-4
Rhetoric,4,Wall Street Journal,4.233252195999577e-4
School boards,4,Wall Street Journal,4.233252195999577e-4
Secondary school students,4,Wall Street Journal,4.233252195999577e-4
Secularism,4,Wall Street Journal,4.233252195999577e-4
"Sessions, Jeff",4,Wall Street Journal,4.233252195999577e-4
Shootings,4,Wall Street Journal,4.233252195999577e-4
Smuggling,4,Wall Street Journal,4.233252195999577e-4
"Snyder, Rick",4,Wall Street Journal,4.233252195999577e-4
Social security,4,Wall Street Journal,4.233252195999577e-4
South Carolina,4,Wall Street Journal,4.233252195999577e-4
Sovereignty,4,Wall Street Journal,4.233252195999577e-4
Speeches,4,Wall Street Journal,4.233252195999577e-4
State of the Union Address,4,Wall Street Journal,4.233252195999577e-4
Statistics,4,Wall Street Journal,4.233252195999577e-4
Subprime lending,4,Wall Street Journal,4.233252195999577e-4
Success,4,Wall Street Journal,4.233252195999577e-4
Tourism,4,Wall Street Journal,4.233252195999577e-4
Truces & cease fires,4,Wall Street Journal,4.233252195999577e-4
Urban renewal,4,Wall Street Journal,4.233252195999577e-4
Utah,4,Wall Street Journal,4.233252195999577e-4
Voters,4,Wall Street Journal,4.233252195999577e-4
Web sites,4,Wall Street Journal,4.233252195999577e-4
"Wilders, Geert",4,Wall Street Journal,4.233252195999577e-4
Zionism,4,Wall Street Journal,4.233252195999577e-4
Achievement tests,3,Wall Street Journal,3.1749391469996824e-4
Activism,3,Wall Street Journal,3.1749391469996824e-4
Admissions policies,3,Wall Street Journal,3.1749391469996824e-4
Agriculture,3,Wall Street Journal,3.1749391469996824e-4
Algeria,3,Wall Street Journal,3.1749391469996824e-4
American culture,3,Wall Street Journal,3.1749391469996824e-4
Angola,3,Wall Street Journal,3.1749391469996824e-4
Argentina,3,Wall Street Journal,3.1749391469996824e-4
Art exhibits,3,Wall Street Journal,3.1749391469996824e-4
Assassinations & assassination attempts,3,Wall Street Journal,3.1749391469996824e-4
Assaults,3,Wall Street Journal,3.1749391469996824e-4
Atlanta Georgia,3,Wall Street Journal,3.1749391469996824e-4
Automobile industry,3,Wall Street Journal,3.1749391469996824e-4
Baltimore Maryland,3,Wall Street Journal,3.1749391469996824e-4
Banking industry,3,Wall Street Journal,3.1749391469996824e-4
Bars,3,Wall Street Journal,3.1749391469996824e-4
Beer,3,Wall Street Journal,3.1749391469996824e-4
Beijing China,3,Wall Street Journal,3.1749391469996824e-4
Belgium,3,Wall Street Journal,3.1749391469996824e-4
"Biden, Joseph R Jr",3,Wall Street Journal,3.1749391469996824e-4
Books,3,Wall Street Journal,3.1749391469996824e-4
Boston Massachusetts,3,Wall Street Journal,3.1749391469996824e-4
Boundaries,3,Wall Street Journal,3.1749391469996824e-4
Breweries,3,Wall Street Journal,3.1749391469996824e-4
Building construction,3,Wall Street Journal,3.1749391469996824e-4
"Burwell, Sylvia Mathews",3,Wall Street Journal,3.1749391469996824e-4
Business growth,3,Wall Street Journal,3.1749391469996824e-4
Capital expenditures,3,Wall Street Journal,3.1749391469996824e-4
Casinos,3,Wall Street Journal,3.1749391469996824e-4
Catholic churches,3,Wall Street Journal,3.1749391469996824e-4
Catholic schools,3,Wall Street Journal,3.1749391469996824e-4
Charter schools,3,Wall Street Journal,3.1749391469996824e-4
Chinatown-New York City NY,3,Wall Street Journal,3.1749391469996824e-4
Commercial real estate,3,Wall Street Journal,3.1749391469996824e-4
