subjects_year,Freq,year,prop
Olympic games-2008,8,2008,0.0019065776930409914
Race,8,2008,0.0019065776930409914
Unemployment,8,2008,0.0019065776930409914
Whites,8,2008,0.0019065776930409914
Cultural identity,7,2008,0.0016682554814108675
Migration,7,2008,0.0016682554814108675
Passports & visas,7,2008,0.0016682554814108675
Poverty,7,2008,0.0016682554814108675
Public opinion,7,2008,0.0016682554814108675
Retirement,7,2008,0.0016682554814108675
Russia,7,2008,0.0016682554814108675
Social conditions & trends,7,2008,0.0016682554814108675
Arrests,6,2008,0.0014299332697807435
Art exhibits,6,2008,0.0014299332697807435
Athletes,6,2008,0.0014299332697807435
Baby boomers,6,2008,0.0014299332697807435
Community,6,2008,0.0014299332697807435
Congressional elections,6,2008,0.0014299332697807435
Construction industry,6,2008,0.0014299332697807435
Developing countries--LDCs,6,2008,0.0014299332697807435
Endorsements,6,2008,0.0014299332697807435
Ethnic foods,6,2008,0.0014299332697807435
Expatriates,6,2008,0.0014299332697807435
Fatalities,6,2008,0.0014299332697807435
Fences,6,2008,0.0014299332697807435
Health care,6,2008,0.0014299332697807435
Health care policy,6,2008,0.0014299332697807435
"Lucero, Marcelo",6,2008,0.0014299332697807435
Multiculturalism & pluralism,6,2008,0.0014299332697807435
Musical performances,6,2008,0.0014299332697807435
Nonprofit organizations,6,2008,0.0014299332697807435
Older people,6,2008,0.0014299332697807435
Parks & recreation areas,6,2008,0.0014299332697807435
Personal profiles,6,2008,0.0014299332697807435
Refugees,6,2008,0.0014299332697807435
"Romney, W Mitt",6,2008,0.0014299332697807435
Southern California,6,2008,0.0014299332697807435
Texas,6,2008,0.0014299332697807435
Urban areas,6,2008,0.0014299332697807435
Border patrol,5,2008,0.0011916110581506197
Civil liberties,5,2008,0.0011916110581506197
Civil rights,5,2008,0.0011916110581506197
Clergy,5,2008,0.0011916110581506197
Congressional investigations,5,2008,0.0011916110581506197
Demonstrations & protests,5,2008,0.0011916110581506197
Diplomatic & consular services,5,2008,0.0011916110581506197
Editorials,5,2008,0.0011916110581506197
Education,5,2008,0.0011916110581506197
Emergency medical care,5,2008,0.0011916110581506197
Germany,5,2008,0.0011916110581506197
History,5,2008,0.0011916110581506197
"Huckabee, Mike",5,2008,0.0011916110581506197
Islam,5,2008,0.0011916110581506197
Labor shortages,5,2008,0.0011916110581506197
Medicaid,5,2008,0.0011916110581506197
Mortgages,5,2008,0.0011916110581506197
Political alliances,5,2008,0.0011916110581506197
Prisoners,5,2008,0.0011916110581506197
Prisons,5,2008,0.0011916110581506197
Raids,5,2008,0.0011916110581506197
Students,5,2008,0.0011916110581506197
Synagogues,5,2008,0.0011916110581506197
Violence,5,2008,0.0011916110581506197
Workers,5,2008,0.0011916110581506197
Affordable housing,4,2008,9.532888465204957e-4
Africa,4,2008,9.532888465204957e-4
Art galleries & museums,4,2008,9.532888465204957e-4
Books,4,2008,9.532888465204957e-4
Budget deficits,4,2008,9.532888465204957e-4
Children & youth,4,2008,9.532888465204957e-4
College admissions,4,2008,9.532888465204957e-4
Community centers,4,2008,9.532888465204957e-4
Councils,4,2008,9.532888465204957e-4
Criminal records,4,2008,9.532888465204957e-4
Cultural centers,4,2008,9.532888465204957e-4
Cultural change,4,2008,9.532888465204957e-4
Democracy,4,2008,9.532888465204957e-4
Economic crisis,4,2008,9.532888465204957e-4
Economic development,4,2008,9.532888465204957e-4
Economic impact,4,2008,9.532888465204957e-4
Economic statistics,4,2008,9.532888465204957e-4
Federal funding,4,2008,9.532888465204957e-4
Federal legislation,4,2008,9.532888465204957e-4
Gays & lesbians,4,2008,9.532888465204957e-4
Geographic profiles,4,2008,9.532888465204957e-4
Health services,4,2008,9.532888465204957e-4
Hispanic culture,4,2008,9.532888465204957e-4
Historic buildings & sites,4,2008,9.532888465204957e-4
Hotels & motels,4,2008,9.532888465204957e-4
Housing,4,2008,9.532888465204957e-4
Immigrant students,4,2008,9.532888465204957e-4
Iowa,4,2008,9.532888465204957e-4
Iraq,4,2008,9.532888465204957e-4
Israel,4,2008,9.532888465204957e-4
Italian Americans,4,2008,9.532888465204957e-4
Japan,4,2008,9.532888465204957e-4
Job creation,4,2008,9.532888465204957e-4
Labor market,4,2008,9.532888465204957e-4
Legislation,4,2008,9.532888465204957e-4
Letters to the editor,4,2008,9.532888465204957e-4
Long Island New York,4,2008,9.532888465204957e-4
Minority & ethnic violence,4,2008,9.532888465204957e-4
Multiracial people,4,2008,9.532888465204957e-4
Museum exhibits,4,2008,9.532888465204957e-4
Musicians & conductors,4,2008,9.532888465204957e-4
Pennsylvania,4,2008,9.532888465204957e-4
Political activism,4,2008,9.532888465204957e-4
Political conventions,4,2008,9.532888465204957e-4
Political leadership,4,2008,9.532888465204957e-4
Political power,4,2008,9.532888465204957e-4
Popes,4,2008,9.532888465204957e-4
Population,4,2008,9.532888465204957e-4
Queens New York,4,2008,9.532888465204957e-4
Racial discrimination,4,2008,9.532888465204957e-4
Relocation,4,2008,9.532888465204957e-4
Retail stores,4,2008,9.532888465204957e-4
San Francisco California,4,2008,9.532888465204957e-4
School districts,4,2008,9.532888465204957e-4
Social change,4,2008,9.532888465204957e-4
Social impact,4,2008,9.532888465204957e-4
Social security,4,2008,9.532888465204957e-4
South Africa,4,2008,9.532888465204957e-4
Supreme Court decisions,4,2008,9.532888465204957e-4
Television networks,4,2008,9.532888465204957e-4
Tournaments & championships,4,2008,9.532888465204957e-4
Truces & cease fires,4,2008,9.532888465204957e-4
United Kingdom--UK,4,2008,9.532888465204957e-4
Working conditions,4,2008,9.532888465204957e-4
Young adults,4,2008,9.532888465204957e-4
Academic achievement,3,2008,7.149666348903718e-4
Actors,3,2008,7.149666348903718e-4
Affirmative action,3,2008,7.149666348903718e-4
American history,3,2008,7.149666348903718e-4
Anniversaries,3,2008,7.149666348903718e-4
Anti-Semitism,3,2008,7.149666348903718e-4
Asians,3,2008,7.149666348903718e-4
Assassinations & assassination attempts,3,2008,7.149666348903718e-4
Blacks,3,2008,7.149666348903718e-4
Brooklyn New York,3,2008,7.149666348903718e-4
Business closings,3,2008,7.149666348903718e-4
Catholic churches,3,2008,7.149666348903718e-4
Central banks,3,2008,7.149666348903718e-4
Chicago Illinois,3,2008,7.149666348903718e-4
Christmas,3,2008,7.149666348903718e-4
Commodity prices,3,2008,7.149666348903718e-4
Competition,3,2008,7.149666348903718e-4
Conservatism,3,2008,7.149666348903718e-4
Counties,3,2008,7.149666348903718e-4
Court decisions,3,2008,7.149666348903718e-4
Cuba,3,2008,7.149666348903718e-4
Cultural relations,3,2008,7.149666348903718e-4
Cyclones,3,2008,7.149666348903718e-4
Data bases,3,2008,7.149666348903718e-4
DNA fingerprints,3,2008,7.149666348903718e-4
Drivers licenses,3,2008,7.149666348903718e-4
Economic forecasts,3,2008,7.149666348903718e-4
Economic recovery,3,2008,7.149666348903718e-4
Economists,3,2008,7.149666348903718e-4
Editorials -- Presidential elections,3,2008,7.149666348903718e-4
Elections -- Spain,3,2008,7.149666348903718e-4
Elementary schools,3,2008,7.149666348903718e-4
Emigration,3,2008,7.149666348903718e-4
English language,3,2008,7.149666348903718e-4
Expansion,3,2008,7.149666348903718e-4
Financial performance,3,2008,7.149666348903718e-4
Foreign policy,3,2008,7.149666348903718e-4
Global warming,3,2008,7.149666348903718e-4
Health care access,3,2008,7.149666348903718e-4
Health insurance,3,2008,7.149666348903718e-4
Historic preservation,3,2008,7.149666348903718e-4
India,3,2008,7.149666348903718e-4
Kosher food,3,2008,7.149666348903718e-4
Labor force,3,2008,7.149666348903718e-4
Labor unions,3,2008,7.149666348903718e-4
Layoffs,3,2008,7.149666348903718e-4
Lotteries,3,2008,7.149666348903718e-4
Manual workers,3,2008,7.149666348903718e-4
Manufacturing,3,2008,7.149666348903718e-4
Mayors,3,2008,7.149666348903718e-4
Memorials & monuments,3,2008,7.149666348903718e-4
Miami Florida,3,2008,7.149666348903718e-4
Migrant workers,3,2008,7.149666348903718e-4
Mosques & temples,3,2008,7.149666348903718e-4
Mumbai India,3,2008,7.149666348903718e-4
Muslim Americans,3,2008,7.149666348903718e-4
National parks,3,2008,7.149666348903718e-4
Nationalism,3,2008,7.149666348903718e-4
Native North Americans,3,2008,7.149666348903718e-4
Nazi era,3,2008,7.149666348903718e-4
New Mexico,3,2008,7.149666348903718e-4
Orange County California,3,2008,7.149666348903718e-4
Palestinians,3,2008,7.149666348903718e-4
"Palin, Sarah",3,2008,7.149666348903718e-4
Phoenix Arizona,3,2008,7.149666348903718e-4
Police,3,2008,7.149666348903718e-4
Political finance,3,2008,7.149666348903718e-4
Popularity,3,2008,7.149666348903718e-4
Presidents,3,2008,7.149666348903718e-4
Prisoner treatment,3,2008,7.149666348903718e-4
Public health,3,2008,7.149666348903718e-4
Public schools,3,2008,7.149666348903718e-4
Racial profiling,3,2008,7.149666348903718e-4
Racism,3,2008,7.149666348903718e-4
Recruitment,3,2008,7.149666348903718e-4
Religion & politics,3,2008,7.149666348903718e-4
Religious congregations,3,2008,7.149666348903718e-4
Religious conversion,3,2008,7.149666348903718e-4
Rites & ceremonies,3,2008,7.149666348903718e-4
Rural areas,3,2008,7.149666348903718e-4
Sales,3,2008,7.149666348903718e-4
Same sex marriage,3,2008,7.149666348903718e-4
Secondary schools,3,2008,7.149666348903718e-4
Stabbings,3,2008,7.149666348903718e-4
State elections,3,2008,7.149666348903718e-4
State laws,3,2008,7.149666348903718e-4
Stereotypes,3,2008,7.149666348903718e-4
Subprime lending,3,2008,7.149666348903718e-4
Suffolk County New York,3,2008,7.149666348903718e-4
Suicide bombings,3,2008,7.149666348903718e-4
Tax increases,3,2008,7.149666348903718e-4
Tax revenues,3,2008,7.149666348903718e-4
Teenagers,3,2008,7.149666348903718e-4
Temporary employment,3,2008,7.149666348903718e-4
Tourist attractions,3,2008,7.149666348903718e-4
Traffic accidents & safety,3,2008,7.149666348903718e-4
Trends,3,2008,7.149666348903718e-4
Vietnam,3,2008,7.149666348903718e-4
Violent crime,3,2008,7.149666348903718e-4
Virginia,3,2008,7.149666348903718e-4
Voting rights,3,2008,7.149666348903718e-4
Wages & salaries,3,2008,7.149666348903718e-4
Water supply,3,2008,7.149666348903718e-4
Xenophobia,3,2008,7.149666348903718e-4
Zimbabwe,3,2008,7.149666348903718e-4
Accreditation,2,2008,4.7664442326024784e-4
Admissions policies,2,2008,4.7664442326024784e-4
Adults,2,2008,4.7664442326024784e-4
Advertising campaigns,2,2008,4.7664442326024784e-4
Age,2,2008,4.7664442326024784e-4
Air shows,2,2008,4.7664442326024784e-4
Airports,2,2008,4.7664442326024784e-4
Apartment buildings,2,2008,4.7664442326024784e-4
Architecture,2,2008,4.7664442326024784e-4
Armed forces,2,2008,4.7664442326024784e-4
Assimilation,2,2008,4.7664442326024784e-4
Bakeries,2,2008,4.7664442326024784e-4
Beaches,2,2008,4.7664442326024784e-4
Belgium,2,2008,4.7664442326024784e-4
Bilingualism,2,2008,4.7664442326024784e-4
Bills,2,2008,4.7664442326024784e-4
Births,2,2008,4.7664442326024784e-4
Black students,2,2008,4.7664442326024784e-4
Bombings,2,2008,4.7664442326024784e-4
Book reviews,2,2008,4.7664442326024784e-4
Brazil,2,2008,4.7664442326024784e-4
Budgeting -- California,2,2008,4.7664442326024784e-4
Building codes,2,2008,4.7664442326024784e-4
Building construction,2,2008,4.7664442326024784e-4
Buses,2,2008,4.7664442326024784e-4
Business community,2,2008,4.7664442326024784e-4
Business growth,2,2008,4.7664442326024784e-4
Canada,2,2008,4.7664442326024784e-4
Capital punishment,2,2008,4.7664442326024784e-4
Casinos,2,2008,4.7664442326024784e-4
"Castro, Fidel",2,2008,4.7664442326024784e-4
Casualties,2,2008,4.7664442326024784e-4
Catholic schools,2,2008,4.7664442326024784e-4
Central business districts,2,2008,4.7664442326024784e-4
Cervical cancer,2,2008,4.7664442326024784e-4
Charter schools,2,2008,4.7664442326024784e-4
"Chavez, Hugo",2,2008,4.7664442326024784e-4
Christians,2,2008,4.7664442326024784e-4
City ordinances,2,2008,4.7664442326024784e-4
Civil rights movement,2,2008,4.7664442326024784e-4
Climate change,2,2008,4.7664442326024784e-4
Clinics,2,2008,4.7664442326024784e-4
College students,2,2008,4.7664442326024784e-4
Colorado,2,2008,4.7664442326024784e-4
Commercial fishing,2,2008,4.7664442326024784e-4
Community colleges,2,2008,4.7664442326024784e-4
Community development,2,2008,4.7664442326024784e-4
Condominiums,2,2008,4.7664442326024784e-4
"Conroy, Jeffrey",2,2008,4.7664442326024784e-4
County executives,2,2008,4.7664442326024784e-4
Customer services,2,2008,4.7664442326024784e-4
Dallas Texas,2,2008,4.7664442326024784e-4
Danbury Connecticut,2,2008,4.7664442326024784e-4
Death threats,2,2008,4.7664442326024784e-4
Detroit Michigan,2,2008,4.7664442326024784e-4
Disaster recovery,2,2008,4.7664442326024784e-4
Displaced persons,2,2008,4.7664442326024784e-4
Dow Jones averages,2,2008,4.7664442326024784e-4
Economic conditions -- United States--US,2,2008,4.7664442326024784e-4
Economic growth,2,2008,4.7664442326024784e-4
Education reform,2,2008,4.7664442326024784e-4
Elections,2,2008,4.7664442326024784e-4
Emerging markets,2,2008,4.7664442326024784e-4
Employee benefits,2,2008,4.7664442326024784e-4
Environmental protection,2,2008,4.7664442326024784e-4
Escondido California,2,2008,4.7664442326024784e-4
Evangelicalism,2,2008,4.7664442326024784e-4
False arrests & convictions,2,2008,4.7664442326024784e-4
Farms,2,2008,4.7664442326024784e-4
Federal state relations,2,2008,4.7664442326024784e-4
Females,2,2008,4.7664442326024784e-4
Financial aid,2,2008,4.7664442326024784e-4
Flea markets,2,2008,4.7664442326024784e-4
Food,2,2008,4.7664442326024784e-4
Food programs,2,2008,4.7664442326024784e-4
Foster care,2,2008,4.7664442326024784e-4
Freedom of speech,2,2008,4.7664442326024784e-4
Fund raising,2,2008,4.7664442326024784e-4
Gasoline prices,2,2008,4.7664442326024784e-4
Genetic testing,2,2008,4.7664442326024784e-4
Gentrification,2,2008,4.7664442326024784e-4
Georgia (country),2,2008,4.7664442326024784e-4
Governors,2,2008,4.7664442326024784e-4
Grants,2,2008,4.7664442326024784e-4
Grocery stores,2,2008,4.7664442326024784e-4
Gross Domestic Product--GDP,2,2008,4.7664442326024784e-4
Guatemala,2,2008,4.7664442326024784e-4
Hawaii,2,2008,4.7664442326024784e-4
Health facilities,2,2008,4.7664442326024784e-4
Helicopters,2,2008,4.7664442326024784e-4
Higher education,2,2008,4.7664442326024784e-4
Home improvement industry,2,2008,4.7664442326024784e-4
Home ownership,2,2008,4.7664442326024784e-4
Hong Kong,2,2008,4.7664442326024784e-4
Houses,2,2008,4.7664442326024784e-4
Houston Texas,2,2008,4.7664442326024784e-4
Humanitarian aid,2,2008,4.7664442326024784e-4
Hurricanes,2,2008,4.7664442326024784e-4
Identification documents,2,2008,4.7664442326024784e-4
Identity theft,2,2008,4.7664442326024784e-4
Ideology,2,2008,4.7664442326024784e-4
Income inequality,2,2008,4.7664442326024784e-4
Indigent care,2,2008,4.7664442326024784e-4
Industrialized nations,2,2008,4.7664442326024784e-4
Infectious diseases,2,2008,4.7664442326024784e-4
Injuries,2,2008,4.7664442326024784e-4
Inspections,2,2008,4.7664442326024784e-4
Interest rates,2,2008,4.7664442326024784e-4
International relations,2,2008,4.7664442326024784e-4
Internet,2,2008,4.7664442326024784e-4
Ireland,2,2008,4.7664442326024784e-4
Irish Americans,2,2008,4.7664442326024784e-4
Islamism,2,2008,4.7664442326024784e-4
"Johnson, Earvin (Magic Johnson)",2,2008,4.7664442326024784e-4
Judicial elections,2,2008,4.7664442326024784e-4
Kenya,2,2008,4.7664442326024784e-4
Labor supply,2,2008,4.7664442326024784e-4
Language policy,2,2008,4.7664442326024784e-4
Las Vegas Nevada,2,2008,4.7664442326024784e-4
Latin America,2,2008,4.7664442326024784e-4
Leadership,2,2008,4.7664442326024784e-4
Lobbyists,2,2008,4.7664442326024784e-4
Local government,2,2008,4.7664442326024784e-4
Louisiana,2,2008,4.7664442326024784e-4
Magazines,2,2008,4.7664442326024784e-4
Malaysia,2,2008,4.7664442326024784e-4
Manslaughter,2,2008,4.7664442326024784e-4
Maricopa County Arizona,2,2008,4.7664442326024784e-4
Marketing,2,2008,4.7664442326024784e-4
Meat industry,2,2008,4.7664442326024784e-4
Michigan,2,2008,4.7664442326024784e-4
Missouri,2,2008,4.7664442326024784e-4
Mortality,2,2008,4.7664442326024784e-4
Motion pictures,2,2008,4.7664442326024784e-4
"Mugabe, Robert",2,2008,4.7664442326024784e-4
Myanmar (Burma),2,2008,4.7664442326024784e-4
"Napolitano, Janet",2,2008,4.7664442326024784e-4
Native languages,2,2008,4.7664442326024784e-4
Nazi groups,2,2008,4.7664442326024784e-4
Nevada,2,2008,4.7664442326024784e-4
New Hampshire,2,2008,4.7664442326024784e-4
New Jersey,2,2008,4.7664442326024784e-4
Nonprofit hospitals,2,2008,4.7664442326024784e-4
Novels,2,2008,4.7664442326024784e-4
Olympic games,2,2008,4.7664442326024784e-4
"Ozdemir, Cem",2,2008,4.7664442326024784e-4
Pakistan,2,2008,4.7664442326024784e-4
"Palin, Bristol",2,2008,4.7664442326024784e-4
Parades,2,2008,4.7664442326024784e-4
Parents & parenting,2,2008,4.7664442326024784e-4
"Paterson, David A",2,2008,4.7664442326024784e-4
Patients,2,2008,4.7664442326024784e-4
Payments,2,2008,4.7664442326024784e-4
Photography,2,2008,4.7664442326024784e-4
Pilot projects,2,2008,4.7664442326024784e-4
Poetry,2,2008,4.7664442326024784e-4
Policy making,2,2008,4.7664442326024784e-4
Political asylum,2,2008,4.7664442326024784e-4
Political behavior,2,2008,4.7664442326024784e-4
Postville Iowa,2,2008,4.7664442326024784e-4
Preschool education,2,2008,4.7664442326024784e-4
Price increases,2,2008,4.7664442326024784e-4
Prices,2,2008,4.7664442326024784e-4
Prime ministers,2,2008,4.7664442326024784e-4
Professional baseball,2,2008,4.7664442326024784e-4
Professional recruitment,2,2008,4.7664442326024784e-4
Public officials,2,2008,4.7664442326024784e-4
Public policy,2,2008,4.7664442326024784e-4
"Putin, Vladimir",2,2008,4.7664442326024784e-4
Quality of care,2,2008,4.7664442326024784e-4
Quality of education,2,2008,4.7664442326024784e-4
Racial identity,2,2008,4.7664442326024784e-4
Radio stations,2,2008,4.7664442326024784e-4
Rape,2,2008,4.7664442326024784e-4
Ratings & rankings,2,2008,4.7664442326024784e-4
Real estate sales,2,2008,4.7664442326024784e-4
Redevelopment,2,2008,4.7664442326024784e-4
Referendums,2,2008,4.7664442326024784e-4
Reforms,2,2008,4.7664442326024784e-4
Regionalism,2,2008,4.7664442326024784e-4
Religious orders,2,2008,4.7664442326024784e-4
Religious right,2,2008,4.7664442326024784e-4
Remittances,2,2008,4.7664442326024784e-4
Renovation & restoration,2,2008,4.7664442326024784e-4
Research,2,2008,4.7664442326024784e-4
Resignations,2,2008,4.7664442326024784e-4
Retirement benefits,2,2008,4.7664442326024784e-4
Retirement homes,2,2008,4.7664442326024784e-4
Reunions,2,2008,4.7664442326024784e-4
Roads & highways,2,2008,4.7664442326024784e-4
Robbery,2,2008,4.7664442326024784e-4
Rockets,2,2008,4.7664442326024784e-4
"Rodriguez Zapatero, Jose Luis",2,2008,4.7664442326024784e-4
"Sarkozy, Nicolas",2,2008,4.7664442326024784e-4
Scandals,2,2008,4.7664442326024784e-4
School dropouts,2,2008,4.7664442326024784e-4
School finance,2,2008,4.7664442326024784e-4
School principals,2,2008,4.7664442326024784e-4
Sderot Israel,2,2008,4.7664442326024784e-4
Seattle Washington,2,2008,4.7664442326024784e-4
Service industries,2,2008,4.7664442326024784e-4
Shortages,2,2008,4.7664442326024784e-4
Ski resorts,2,2008,4.7664442326024784e-4
Small business,2,2008,4.7664442326024784e-4
Smuggling,2,2008,4.7664442326024784e-4
Soccer,2,2008,4.7664442326024784e-4
Social conditions & trends -- United States--US,2,2008,4.7664442326024784e-4
Social life & customs,2,2008,4.7664442326024784e-4
Social networks,2,2008,4.7664442326024784e-4
Socialism,2,2008,4.7664442326024784e-4
Spanish language,2,2008,4.7664442326024784e-4
Speeches,2,2008,4.7664442326024784e-4
States,2,2008,4.7664442326024784e-4
Statistics,2,2008,4.7664442326024784e-4
Summer,2,2008,4.7664442326024784e-4
Sweden,2,2008,4.7664442326024784e-4
Teachers,2,2008,4.7664442326024784e-4
Temple City California,2,2008,4.7664442326024784e-4
Theaters & cinemas,2,2008,4.7664442326024784e-4
Tibet,2,2008,4.7664442326024784e-4
Traditions,2,2008,4.7664442326024784e-4
Traffic congestion,2,2008,4.7664442326024784e-4
Travel,2,2008,4.7664442326024784e-4
Tuberculosis,2,2008,4.7664442326024784e-4
Tuition,2,2008,4.7664442326024784e-4
Urban renewal,2,2008,4.7664442326024784e-4
Veterans,2,2008,4.7664442326024784e-4
"Villaraigosa, Antonio",2,2008,4.7664442326024784e-4
Visual artists,2,2008,4.7664442326024784e-4
Washington DC,2,2008,4.7664442326024784e-4
Web sites,2,2008,4.7664442326024784e-4
White collar workers,2,2008,4.7664442326024784e-4
"Wilders, Geert",2,2008,4.7664442326024784e-4
Womens health,2,2008,4.7664442326024784e-4
World music,2,2008,4.7664442326024784e-4
Writers,2,2008,4.7664442326024784e-4
Abdullah Ahmad Badawi,1,2008,2.3832221163012392e-4
"Abdullah, King of Saudi Arabia",1,2008,2.3832221163012392e-4
"Abed, Sam",1,2008,2.3832221163012392e-4
Abortion,1,2008,2.3832221163012392e-4
Absentee voting,1,2008,2.3832221163012392e-4
Academic standards,1,2008,2.3832221163012392e-4
Accountability,1,2008,2.3832221163012392e-4
Acculturation,1,2008,2.3832221163012392e-4
Acquired immune deficiency syndrome,1,2008,2.3832221163012392e-4
Acquired immune deficiency syndrome--AIDS,1,2008,2.3832221163012392e-4
Acquittals & mistrials,1,2008,2.3832221163012392e-4
Activism,1,2008,2.3832221163012392e-4
Adoption,1,2008,2.3832221163012392e-4
Adult entertainment,1,2008,2.3832221163012392e-4
Advocacy,1,2008,2.3832221163012392e-4
Afghanistan,1,2008,2.3832221163012392e-4
Age of Enlightenment,1,2008,2.3832221163012392e-4
Agreements,1,2008,2.3832221163012392e-4
Agricultural production,1,2008,2.3832221163012392e-4
Agriculture,1,2008,2.3832221163012392e-4
Ahmad Ismail,1,2008,2.3832221163012392e-4
AIDS,1,2008,2.3832221163012392e-4
Air pollution,1,2008,2.3832221163012392e-4
Airlifts,1,2008,2.3832221163012392e-4
Albuquerque New Mexico,1,2008,2.3832221163012392e-4
"Alexander, Lamar",1,2008,2.3832221163012392e-4
Alliances,1,2008,2.3832221163012392e-4
Alternative energy sources,1,2008,2.3832221163012392e-4
Alzheimers disease,1,2008,2.3832221163012392e-4
"Amara, Fadela",1,2008,2.3832221163012392e-4
American culture,1,2008,2.3832221163012392e-4
Amityville New York,1,2008,2.3832221163012392e-4
Amusement parks,1,2008,2.3832221163012392e-4
Ancient civilizations,1,2008,2.3832221163012392e-4
Ancient languages,1,2008,2.3832221163012392e-4
"Angelides, Phil",1,2008,2.3832221163012392e-4
Animal behavior,1,2008,2.3832221163012392e-4
Animal care,1,2008,2.3832221163012392e-4
Animal control,1,2008,2.3832221163012392e-4
Animal diseases,1,2008,2.3832221163012392e-4
Animal reproduction,1,2008,2.3832221163012392e-4
Apartments,1,2008,2.3832221163012392e-4
Appointments & personnel changes,1,2008,2.3832221163012392e-4
Arab Americans,1,2008,2.3832221163012392e-4
Archaeology,1,2008,2.3832221163012392e-4
Area planning & development -- Hong Kong,1,2008,2.3832221163012392e-4
Area planning & development -- Los Angeles California,1,2008,2.3832221163012392e-4
Area planning & development -- Monterey Park California,1,2008,2.3832221163012392e-4
"Arpaio, Joe",1,2008,2.3832221163012392e-4
Arraignment,1,2008,2.3832221163012392e-4
"Arroyo, Gloria Macapagal",1,2008,2.3832221163012392e-4
Art,1,2008,2.3832221163012392e-4
Art markets,1,2008,2.3832221163012392e-4
Artistic directors,1,2008,2.3832221163012392e-4
Assaults,1,2008,2.3832221163012392e-4
Assisted suicide,1,2008,2.3832221163012392e-4
Atheism,1,2008,2.3832221163012392e-4
Atlanta Georgia,1,2008,2.3832221163012392e-4
Attorneys,1,2008,2.3832221163012392e-4
Attorneys general,1,2008,2.3832221163012392e-4
Autobiographies,1,2008,2.3832221163012392e-4
Automobile driving,1,2008,2.3832221163012392e-4
Automobile racing,1,2008,2.3832221163012392e-4
Automobile sales,1,2008,2.3832221163012392e-4
